Vp,gesch,age,herk,bildg,min,item,itemid,rat,typ
140,m,28,Hamburg,Abi,7,sich aufs Ohr legen,NH14_21,3,meto
140,m,28,Hamburg,Abi,7,in falsche Hände geraten,NH14_26,2,meto
140,m,28,Hamburg,Abi,7,die Finger von etwas lassen,NH14_27,3,meto
140,m,28,Hamburg,Abi,7,mit seinen Reizen spielen,NH14_28,1,meto
140,m,28,Hamburg,Abi,7,jemandem knurrt der Magen,NH14_29,3,meto
140,m,28,Hamburg,Abi,7,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
140,m,28,Hamburg,Abi,7,sich unters Messer legen,NH19_07,2,meto
140,m,28,Hamburg,Abi,7,vor jemandes Nase stehen,NH19_08,3,meto
140,m,28,Hamburg,Abi,7,keine Papiere haben,NH19_09,3,meto
140,m,28,Hamburg,Abi,7,etwas nicht aus den Augen lassen,NH19_13,3,meto
140,m,28,Hamburg,Abi,7,jemandem schlägt das Herz bis zum Hals,NH19_18,4,meto
140,m,28,Hamburg,Abi,7,etwas aus eigener Tasche bezahlen,NH19_22,2,meto
140,m,28,Hamburg,Abi,7,die Nase rümpfen,NH19_25,2,meto
140,m,28,Hamburg,Abi,7,einen Luftsprung machen,NH19_27,1,meto
140,m,28,Hamburg,Abi,7,keinen Finger krümmen,NH20_02,2,meto
140,m,28,Hamburg,Abi,7,in den roten Zahlen sein,NH20_03,3,meto
140,m,28,Hamburg,Abi,7,kein Wort über die Lippen bringen,NH20_04,2,meto
140,m,28,Hamburg,Abi,7,das letzte Wort haben,NH20_08,4,meto
140,m,28,Hamburg,Abi,7,eine böse Zunge haben,NH20_09,1,meto
140,m,28,Hamburg,Abi,7,etwas unter vier Augen besprechen,NH20_14,3,meto
140,m,28,Hamburg,Abi,7,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
140,m,28,Hamburg,Abi,7,große Augen machen,NH20_21,2,meto
142,m,18,Meck-Pom,Abi,87,mit leeren Händen kommen,NH14_01,1,meto
142,m,18,Meck-Pom,Abi,87,seine eigenen vier Wände haben,NH14_03,3,meto
142,m,18,Meck-Pom,Abi,87,auf den Beinen sein,NH14_04,2,meto
142,m,18,Meck-Pom,Abi,87,kein Auge zutun,NH14_10,1,meto
142,m,18,Meck-Pom,Abi,87,über alle Berge sein,NH14_16,2,meto
142,m,18,Meck-Pom,Abi,87,sich aufs Ohr legen,NH14_21,1,meto
142,m,18,Meck-Pom,Abi,87,in falsche Hände geraten,NH14_26,1,meto
142,m,18,Meck-Pom,Abi,87,die Finger von etwas lassen,NH14_27,3,meto
142,m,18,Meck-Pom,Abi,87,mit seinen Reizen spielen,NH14_28,2,meto
142,m,18,Meck-Pom,Abi,87,jemandem knurrt der Magen,NH14_29,3,meto
142,m,18,Meck-Pom,Abi,87,jemandem läuft ein Schauer über den Rücken,NH19_02,3,meto
142,m,18,Meck-Pom,Abi,87,sich unters Messer legen,NH19_07,3,meto
142,m,18,Meck-Pom,Abi,87,vor jemandes Nase stehen,NH19_08,3,meto
142,m,18,Meck-Pom,Abi,87,keine Papiere haben,NH19_09,3,meto
142,m,18,Meck-Pom,Abi,87,etwas nicht aus den Augen lassen,NH19_13,4,meto
142,m,18,Meck-Pom,Abi,87,jemandem schlägt das Herz bis zum Hals,NH19_18,3,meto
142,m,18,Meck-Pom,Abi,87,etwas aus eigener Tasche bezahlen,NH19_22,3,meto
142,m,18,Meck-Pom,Abi,87,die Nase rümpfen,NH19_25,2,meto
142,m,18,Meck-Pom,Abi,87,einen Luftsprung machen,NH19_27,2,meto
142,m,18,Meck-Pom,Abi,87,keinen Finger krümmen,NH20_02,2,meto
142,m,18,Meck-Pom,Abi,87,in den roten Zahlen sein,NH20_03,1,meto
142,m,18,Meck-Pom,Abi,87,kein Wort über die Lippen bringen,NH20_04,3,meto
142,m,18,Meck-Pom,Abi,87,das letzte Wort haben,NH20_08,2,meto
142,m,18,Meck-Pom,Abi,87,eine böse Zunge haben,NH20_09,1,meto
142,m,18,Meck-Pom,Abi,87,etwas unter vier Augen besprechen,NH20_14,2,meto
142,m,18,Meck-Pom,Abi,87,sich nicht wohl in seiner Haut fühlen,NH20_20,3,meto
142,m,18,Meck-Pom,Abi,87,große Augen machen,NH20_21,3,meto
143,w,35,NRW,MR,79,mit leeren Händen kommen,NH14_01,3,meto
143,w,35,NRW,MR,79,seine eigenen vier Wände haben,NH14_03,3,meto
143,w,35,NRW,MR,79,auf den Beinen sein,NH14_04,3,meto
143,w,35,NRW,MR,79,kein Auge zutun,NH14_10,3,meto
143,w,35,NRW,MR,79,über alle Berge sein,NH14_16,1,meto
143,w,35,NRW,MR,79,sich aufs Ohr legen,NH14_21,3,meto
143,w,35,NRW,MR,79,in falsche Hände geraten,NH14_26,3,meto
143,w,35,NRW,MR,79,die Finger von etwas lassen,NH14_27,3,meto
143,w,35,NRW,MR,79,mit seinen Reizen spielen,NH14_28,4,meto
143,w,35,NRW,MR,79,jemandem knurrt der Magen,NH14_29,4,meto
143,w,35,NRW,MR,79,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
143,w,35,NRW,MR,79,sich unters Messer legen,NH19_07,4,meto
143,w,35,NRW,MR,79,vor jemandes Nase stehen,NH19_08,4,meto
143,w,35,NRW,MR,79,keine Papiere haben,NH19_09,4,meto
143,w,35,NRW,MR,79,etwas nicht aus den Augen lassen,NH19_13,3,meto
143,w,35,NRW,MR,79,jemandem schlägt das Herz bis zum Hals,NH19_18,4,meto
143,w,35,NRW,MR,79,etwas aus eigener Tasche bezahlen,NH19_22,4,meto
143,w,35,NRW,MR,79,die Nase rümpfen,NH19_25,2,meto
143,w,35,NRW,MR,79,einen Luftsprung machen,NH19_27,4,meto
143,w,35,NRW,MR,79,keinen Finger krümmen,NH20_02,3,meto
143,w,35,NRW,MR,79,in den roten Zahlen sein,NH20_03,2,meto
143,w,35,NRW,MR,79,kein Wort über die Lippen bringen,NH20_04,3,meto
143,w,35,NRW,MR,79,das letzte Wort haben,NH20_08,4,meto
143,w,35,NRW,MR,79,eine böse Zunge haben,NH20_09,2,meto
143,w,35,NRW,MR,79,etwas unter vier Augen besprechen,NH20_14,3,meto
143,w,35,NRW,MR,79,sich nicht wohl in seiner Haut fühlen,NH20_20,3,meto
143,w,35,NRW,MR,79,große Augen machen,NH20_21,3,meto
144,m,29,Thür,Abi,48,mit leeren Händen kommen,NH14_01,3,meto
144,m,29,Thür,Abi,48,seine eigenen vier Wände haben,NH14_03,2,meto
144,m,29,Thür,Abi,48,auf den Beinen sein,NH14_04,1,meto
144,m,29,Thür,Abi,48,kein Auge zutun,NH14_10,2,meto
144,m,29,Thür,Abi,48,über alle Berge sein,NH14_16,1,meto
144,m,29,Thür,Abi,48,sich aufs Ohr legen,NH14_21,1,meto
144,m,29,Thür,Abi,48,in falsche Hände geraten,NH14_26,1,meto
144,m,29,Thür,Abi,48,die Finger von etwas lassen,NH14_27,2,meto
144,m,29,Thür,Abi,48,mit seinen Reizen spielen,NH14_28,3,meto
144,m,29,Thür,Abi,48,jemandem knurrt der Magen,NH14_29,2,meto
144,m,29,Thür,Abi,48,jemandem läuft ein Schauer über den Rücken,NH19_02,3,meto
144,m,29,Thür,Abi,48,sich unters Messer legen,NH19_07,2,meto
144,m,29,Thür,Abi,48,vor jemandes Nase stehen,NH19_08,4,meto
144,m,29,Thür,Abi,48,keine Papiere haben,NH19_09,2,meto
144,m,29,Thür,Abi,48,etwas nicht aus den Augen lassen,NH19_13,3,meto
144,m,29,Thür,Abi,48,jemandem schlägt das Herz bis zum Hals,NH19_18,3,meto
144,m,29,Thür,Abi,48,etwas aus eigener Tasche bezahlen,NH19_22,3,meto
144,m,29,Thür,Abi,48,die Nase rümpfen,NH19_25,2,meto
144,m,29,Thür,Abi,48,einen Luftsprung machen,NH19_27,1,meto
144,m,29,Thür,Abi,48,keinen Finger krümmen,NH20_02,1,meto
144,m,29,Thür,Abi,48,in den roten Zahlen sein,NH20_03,2,meto
144,m,29,Thür,Abi,48,kein Wort über die Lippen bringen,NH20_04,1,meto
144,m,29,Thür,Abi,48,das letzte Wort haben,NH20_08,2,meto
144,m,29,Thür,Abi,48,eine böse Zunge haben,NH20_09,1,meto
144,m,29,Thür,Abi,48,etwas unter vier Augen besprechen,NH20_14,2,meto
144,m,29,Thür,Abi,48,sich nicht wohl in seiner Haut fühlen,NH20_20,1,meto
144,m,29,Thür,Abi,48,große Augen machen,NH20_21,2,meto
145,m,23,NRW,Abi,58,mit leeren Händen kommen,NH14_01,4,meto
145,m,23,NRW,Abi,58,seine eigenen vier Wände haben,NH14_03,3,meto
145,m,23,NRW,Abi,58,auf den Beinen sein,NH14_04,3,meto
145,m,23,NRW,Abi,58,kein Auge zutun,NH14_10,3,meto
145,m,23,NRW,Abi,58,über alle Berge sein,NH14_16,1,meto
145,m,23,NRW,Abi,58,sich aufs Ohr legen,NH14_21,4,meto
145,m,23,NRW,Abi,58,in falsche Hände geraten,NH14_26,2,meto
145,m,23,NRW,Abi,58,die Finger von etwas lassen,NH14_27,3,meto
145,m,23,NRW,Abi,58,mit seinen Reizen spielen,NH14_28,1,meto
145,m,23,NRW,Abi,58,jemandem knurrt der Magen,NH14_29,4,meto
145,m,23,NRW,Abi,58,jemandem läuft ein Schauer über den Rücken,NH19_02,3,meto
145,m,23,NRW,Abi,58,sich unters Messer legen,NH19_07,3,meto
145,m,23,NRW,Abi,58,vor jemandes Nase stehen,NH19_08,3,meto
145,m,23,NRW,Abi,58,keine Papiere haben,NH19_09,2,meto
145,m,23,NRW,Abi,58,etwas nicht aus den Augen lassen,NH19_13,4,meto
145,m,23,NRW,Abi,58,jemandem schlägt das Herz bis zum Hals,NH19_18,2,meto
145,m,23,NRW,Abi,58,etwas aus eigener Tasche bezahlen,NH19_22,4,meto
145,m,23,NRW,Abi,58,die Nase rümpfen,NH19_25,2,meto
145,m,23,NRW,Abi,58,einen Luftsprung machen,NH19_27,3,meto
145,m,23,NRW,Abi,58,keinen Finger krümmen,NH20_02,1,meto
145,m,23,NRW,Abi,58,in den roten Zahlen sein,NH20_03,1,meto
145,m,23,NRW,Abi,58,kein Wort über die Lippen bringen,NH20_04,4,meto
145,m,23,NRW,Abi,58,das letzte Wort haben,NH20_08,3,meto
145,m,23,NRW,Abi,58,eine böse Zunge haben,NH20_09,3,meto
145,m,23,NRW,Abi,58,etwas unter vier Augen besprechen,NH20_14,3,meto
145,m,23,NRW,Abi,58,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
145,m,23,NRW,Abi,58,große Augen machen,NH20_21,2,meto
151,m,28,NRW,Uni,62,mit leeren Händen kommen,NH14_01,3,meto
151,m,28,NRW,Uni,62,seine eigenen vier Wände haben,NH14_03,4,meto
151,m,28,NRW,Uni,62,auf den Beinen sein,NH14_04,3,meto
151,m,28,NRW,Uni,62,kein Auge zutun,NH14_10,1,meto
151,m,28,NRW,Uni,62,über alle Berge sein,NH14_16,1,meto
151,m,28,NRW,Uni,62,sich aufs Ohr legen,NH14_21,3,meto
151,m,28,NRW,Uni,62,in falsche Hände geraten,NH14_26,1,meto
151,m,28,NRW,Uni,62,die Finger von etwas lassen,NH14_27,3,meto
151,m,28,NRW,Uni,62,mit seinen Reizen spielen,NH14_28,2,meto
151,m,28,NRW,Uni,62,jemandem knurrt der Magen,NH14_29,2,meto
151,m,28,NRW,Uni,62,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
151,m,28,NRW,Uni,62,sich unters Messer legen,NH19_07,3,meto
151,m,28,NRW,Uni,62,vor jemandes Nase stehen,NH19_08,2,meto
151,m,28,NRW,Uni,62,keine Papiere haben,NH19_09,4,meto
151,m,28,NRW,Uni,62,etwas nicht aus den Augen lassen,NH19_13,1,meto
151,m,28,NRW,Uni,62,jemandem schlägt das Herz bis zum Hals,NH19_18,2,meto
151,m,28,NRW,Uni,62,etwas aus eigener Tasche bezahlen,NH19_22,3,meto
151,m,28,NRW,Uni,62,die Nase rümpfen,NH19_25,2,meto
151,m,28,NRW,Uni,62,einen Luftsprung machen,NH19_27,2,meto
151,m,28,NRW,Uni,62,keinen Finger krümmen,NH20_02,2,meto
151,m,28,NRW,Uni,62,in den roten Zahlen sein,NH20_03,4,meto
151,m,28,NRW,Uni,62,kein Wort über die Lippen bringen,NH20_04,2,meto
151,m,28,NRW,Uni,62,das letzte Wort haben,NH20_08,1,meto
151,m,28,NRW,Uni,62,eine böse Zunge haben,NH20_09,1,meto
151,m,28,NRW,Uni,62,etwas unter vier Augen besprechen,NH20_14,4,meto
151,m,28,NRW,Uni,62,sich nicht wohl in seiner Haut fühlen,NH20_20,2,meto
151,m,28,NRW,Uni,62,große Augen machen,NH20_21,1,meto
155,w,29,Berlin,MR,46,mit leeren Händen kommen,NH14_01,4,meto
155,w,29,Berlin,MR,46,seine eigenen vier Wände haben,NH14_03,1,meto
155,w,29,Berlin,MR,46,auf den Beinen sein,NH14_04,4,meto
155,w,29,Berlin,MR,46,kein Auge zutun,NH14_10,3,meto
155,w,29,Berlin,MR,46,über alle Berge sein,NH14_16,1,meto
155,w,29,Berlin,MR,46,sich aufs Ohr legen,NH14_21,1,meto
155,w,29,Berlin,MR,46,in falsche Hände geraten,NH14_26,1,meto
155,w,29,Berlin,MR,46,die Finger von etwas lassen,NH14_27,1,meto
155,w,29,Berlin,MR,46,mit seinen Reizen spielen,NH14_28,2,meto
155,w,29,Berlin,MR,46,jemandem knurrt der Magen,NH14_29,1,meto
155,w,29,Berlin,MR,46,jemandem läuft ein Schauer über den Rücken,NH19_02,4,meto
155,w,29,Berlin,MR,46,sich unters Messer legen,NH19_07,3,meto
155,w,29,Berlin,MR,46,vor jemandes Nase stehen,NH19_08,4,meto
155,w,29,Berlin,MR,46,keine Papiere haben,NH19_09,4,meto
155,w,29,Berlin,MR,46,etwas nicht aus den Augen lassen,NH19_13,4,meto
155,w,29,Berlin,MR,46,jemandem schlägt das Herz bis zum Hals,NH19_18,1,meto
155,w,29,Berlin,MR,46,etwas aus eigener Tasche bezahlen,NH19_22,1,meto
155,w,29,Berlin,MR,46,die Nase rümpfen,NH19_25,3,meto
155,w,29,Berlin,MR,46,einen Luftsprung machen,NH19_27,4,meto
155,w,29,Berlin,MR,46,keinen Finger krümmen,NH20_02,1,meto
155,w,29,Berlin,MR,46,in den roten Zahlen sein,NH20_03,4,meto
155,w,29,Berlin,MR,46,kein Wort über die Lippen bringen,NH20_04,1,meto
155,w,29,Berlin,MR,46,das letzte Wort haben,NH20_08,1,meto
155,w,29,Berlin,MR,46,eine böse Zunge haben,NH20_09,1,meto
155,w,29,Berlin,MR,46,etwas unter vier Augen besprechen,NH20_14,1,meto
155,w,29,Berlin,MR,46,sich nicht wohl in seiner Haut fühlen,NH20_20,1,meto
155,w,29,Berlin,MR,46,große Augen machen,NH20_21,1,meto
157,w,25,NRW,MR,64,mit leeren Händen kommen,NH14_01,4,meto
157,w,25,NRW,MR,64,seine eigenen vier Wände haben,NH14_03,2,meto
